StockCode,Description,TotalRevenue,UnitsSold,FirstSale,LastSale,DaysWithSales,TotalOrders,AvgPrice,Recency,SalesFreq,Segment
15056p,EDWARDIAN PARASOL PINK,412.48,33,2010-12-03 11:13:00,2011-12-05 11:48:00,23,26,12.49939393939394,5,23,0
15058A,BLUE POLKADOT GARDEN PARASOL,1668.49,200,2010-12-10 11:11:00,2011-11-23 12:48:00,64,89,8.34245,17,64,0
15058B,PINK POLKADOT GARDEN PARASOL,1885.27,228,2010-12-10 13:27:00,2011-11-17 12:55:00,67,97,8.268728070175438,22,67,0
15058C,ICE CREAM DESIGN GARDEN PARASOL,1429.82,240,2011-02-03 14:41:00,2011-12-09 10:03:00,55,72,5.957583333333333,1,55,0
15060B,FAIRY CAKE DESIGN UMBRELLA,1807.55,451,2010-12-02 14:30:00,2011-11-18 14:14:00,105,131,4.007871396895787,21,105,0
15060b,FAIRY CAKE DESIGN UMBRELLA,24.869999999999997,3,2011-09-20 14:46:00,2011-11-20 13:58:00,3,3,8.29,19,3,0
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,2892,2010-12-09 14:10:00,2011-12-09 08:48:00,57,70,0.1247268326417704,1,57,0
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.5999999999999996,30,2010-12-05 16:41:00,2011-03-28 14:27:00,3,3,0.11999999999999998,256,3,1
16011,ANIMAL STICKERS,367.29,1749,2010-12-05 12:53:00,2011-12-07 12:41:00,45,46,0.21000000000000002,3,45,0
16012,FOOD/DRINK SPONGE STICKERS,256.2,1220,2010-12-02 13:32:00,2011-12-05 14:49:00,30,35,0.21,4,30,0
16014,SMALL CHINESE STYLE SCISSOR,4335.76,13328,2010-12-01 12:15:00,2011-12-09 08:48:00,49,54,0.32531212484994,1,49,2
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,662,2010-12-09 14:10:00,2011-11-17 17:34:00,23,24,0.43803625377643507,22,23,0
16016,LARGE CHINESE STYLE SCISSOR,1053.45,1273,2010-12-01 12:15:00,2011-12-09 12:31:00,60,65,0.8275333857030637,1,60,0
16020C,CLEAR STATIONERY BOX SET ,69.89999999999999,84,2011-03-02 17:33:00,2011-07-05 17:09:00,13,17,0.8321428571428571,157,13,1
16033,MINI HIGHLIGHTER PENS,100.79999999999998,840,2010-12-12 10:48:00,2011-02-17 15:40:00,4,4,0.11999999999999998,295,4,1
16043,POP ART PUSH DOWN RUBBER ,11.759999999999998,98,2011-06-07 10:44:00,2011-06-09 19:33:00,2,2,0.11999999999999998,183,2,1
16045,POPART WOODEN PENCILS ASST,380.0,8900,2010-12-22 14:28:00,2011-12-05 12:08:00,56,68,0.04269662921348315,5,56,0
16046,TEATIME PEN CASE & PENS,55.25,65,2010-12-02 11:35:00,2011-11-28 11:26:00,13,14,0.85,12,13,0
16048,TEATIME ROUND PENCIL SHARPENER ,205.29999999999998,1460,2010-12-10 09:51:00,2011-12-08 09:28:00,54,67,0.14061643835616436,2,54,0
16049,TEATIME GEL PENS ASST,82.08,504,2011-04-26 11:51:00,2011-05-25 11:44:00,4,5,0.16285714285714287,199,4,1
16052,TEATIME PUSH DOWN RUBBER,115.3,479,2010-12-07 15:28:00,2011-06-09 19:33:00,12,13,0.2407098121085595,183,12,1
16054,POPART RECT PENCIL SHARPENER ASST,140.52,1166,2010-12-10 11:33:00,2011-12-04 13:59:00,29,33,0.1205145797598628,5,29,0
16151A,FLOWERS HANDBAG blue and orange,61.25,49,2011-05-11 12:32:00,2011-05-25 10:02:00,3,3,1.25,199,3,1
16156L,WRAP CAROUSEL,199.5,475,2011-01-07 09:40:00,2011-12-02 10:22:00,17,18,0.42,8,17,0
16156S,WRAP PINK FAIRY CAKES ,2331.0,5800,2010-12-02 13:44:00,2011-12-08 12:29:00,123,167,0.4018965517241379,2,123,0
16161G,WRAP BAD HAIR DAY,70.0,700,2011-03-15 11:45:00,2011-11-24 11:19:00,21,22,0.1,16,21,0
16161M,WRAP  PINK FLOCK,10.5,25,2010-12-02 18:15:00,2010-12-02 18:15:00,1,1,0.42,372,1,1
16161P,WRAP ENGLISH ROSE ,2980.42,7201,2010-12-02 18:08:00,2011-12-07 11:43:00,161,248,0.4138897375364533,3,161,2
16161U,WRAP SUKI AND FRIENDS,1687.5,4075,2010-12-05 14:45:00,2011-12-02 16:34:00,105,134,0.41411042944785276,7,105,0
16162L,THE KING GIFT BAG,13.0,20,2011-01-11 14:46:00,2011-09-13 11:14:00,8,8,0.65,88,8,0
16162M,THE KING GIFT BAG 25x24x12cm,11.76,28,2011-07-19 12:47:00,2011-11-27 13:26:00,7,8,0.42,12,7,0
16168M,FUNKY MONKEY GIFT BAG MEDIUM,173.12,371,2010-12-01 17:06:00,2011-12-08 16:22:00,36,41,0.46663072776280323,1,36,0
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,2011-07-21 13:06:00,2011-12-09 10:20:00,83,149,0.4147403024326101,1,83,0
16169K,WRAP FOLK ART,84.0,200,2010-12-06 15:54:00,2011-09-28 16:07:00,8,8,0.42,72,8,0
16169M,WRAP DAISY CARPET ,277.2,660,2011-01-05 13:40:00,2011-12-02 10:22:00,25,25,0.42,8,25,0
16169N,WRAP BLUE RUSSIAN FOLKART,10.5,25,2010-12-06 12:06:00,2010-12-06 12:06:00,1,1,0.42,369,1,1
16169P,WRAP GREEN RUSSIAN FOLKART ,21.0,50,2010-12-10 11:24:00,2010-12-19 11:35:00,2,2,0.42,356,2,1
16202A,PASTEL PINK PHOTO ALBUM ,3.5,7,2011-03-11 14:35:00,2011-04-17 13:43:00,2,2,0.5,236,2,1
16202B,PASTEL BLUE PHOTO ALBUM ,14.5,29,2011-04-17 13:43:00,2011-04-19 14:49:00,2,2,0.5,234,2,1
16202E,BLACK PHOTO ALBUM ,7.5,15,2011-04-04 16:36:00,2011-04-17 13:43:00,3,3,0.5,236,3,1
16206B,RED PURSE WITH PINK HEART,8.75,7,2010-12-23 16:06:00,2011-01-26 12:29:00,2,2,1.25,318,2,1
16207A,PINK STRAWBERRY HANDBAG ,163.1,60,2010-12-19 14:41:00,2011-11-06 16:14:00,31,34,2.7183333333333333,33,31,0
16207B,PINK HEART RED HANDBAG,76.14,29,2011-01-11 12:41:00,2011-08-30 10:49:00,16,18,2.62551724137931,102,16,0
16216,LETTER SHAPE PENCIL SHARPENER,234.0,3333,2010-12-12 13:47:00,2011-12-07 12:41:00,40,45,0.0702070207020702,3,40,0
16218,CARTOON  PENCIL SHARPENERS,283.31,3821,2010-12-03 11:36:00,2011-12-09 10:03:00,55,64,0.07414551164616592,1,55,0
16219,HOUSE SHAPE PENCIL SHARPENER,407.71999999999997,3048,2010-12-07 15:28:00,2011-12-08 09:20:00,81,100,0.13376640419947505,2,81,0
16225,RATTLE SNAKE EGGS,689.35,813,2010-12-03 11:36:00,2011-12-09 10:03:00,74,102,0.8479089790897909,1,74,0
16235,RECYCLED PENCIL WITH RABBIT ERASER,695.4,3068,2010-12-02 12:16:00,2011-12-09 10:03:00,118,168,0.22666232073011733,1,118,0
16236,KITTY PENCIL ERASERS,320.09,1438,2010-12-01 14:32:00,2011-12-08 11:43:00,100,136,0.22259388038942973,2,100,0
16237,SLEEPING CAT ERASERS,1047.93,4991,2010-12-01 11:41:00,2011-12-09 10:03:00,171,290,0.20996393508314967,1,171,2
16238,PARTY TIME PENCIL ERASERS,321.67,1396,2010-12-01 11:45:00,2011-12-08 11:43:00,99,134,0.23042263610315186,2,99,0
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.85,7,2011-04-26 16:45:00,2011-05-11 15:16:00,2,2,1.1214285714285714,212,2,1
16248B,BLUE HOLE PUNCH,16.25,13,2011-03-07 17:52:00,2011-10-30 15:55:00,7,7,1.25,40,7,0
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,42.58,40,2011-06-15 11:56:00,2011-11-30 14:17:00,17,17,1.0645,9,17,0
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,178.97,472,2010-12-01 12:23:00,2011-12-08 09:39:00,51,59,0.3791737288135593,2,51,0
16259,PIECE OF CAMO STATIONERY SET,326.56,3380,2011-03-17 15:03:00,2011-11-13 11:55:00,28,31,0.09661538461538462,27,28,0
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,20.88,72,2011-02-28 14:48:00,2011-02-28 14:48:00,1,1,0.29,284,1,1
17003,BROCADE RING PURSE ,6025.95,23020,2010-12-01 14:32:00,2011-12-08 16:30:00,154,239,0.26177019982623806,1,154,2
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,50.400000000000006,24,2010-12-06 13:01:00,2011-06-08 14:35:00,2,2,2.1,184,2,1
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,66.36000000000001,81,2010-12-01 14:32:00,2011-05-19 12:10:00,7,7,0.8192592592592595,205,7,1
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,375.93,323,2010-12-01 14:32:00,2011-12-02 14:25:00,56,65,1.1638699690402476,7,56,0
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,595.85,525,2010-12-01 14:32:00,2011-11-30 14:17:00,74,85,1.134952380952381,9,74,0
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,481.79999999999995,420,2010-12-01 14:32:00,2011-12-08 12:50:00,67,85,1.147142857142857,2,67,0
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,547.24,461,2010-12-01 14:32:00,2011-12-08 16:30:00,75,97,1.1870715835140997,1,75,0
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,62.64,44,2010-12-01 14:32:00,2010-12-15 15:34:00,7,10,1.4236363636363636,359,7,1
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,530.6,448,2010-12-01 14:32:00,2011-12-08 19:24:00,72,94,1.184375,1,72,0
17013D,ORIGAMI ROSE INCENSE IN TUBE,267.82,535,2010-12-08 14:25:00,2011-06-07 10:05:00,13,13,0.5005981308411215,186,13,1
17014A,ORIGAMI VANILLA INCENSE CONES,71.19,155,2010-12-01 17:06:00,2011-06-27 13:58:00,8,8,0.45929032258064517,165,8,1
17021,NAMASTE SWAGAT INCENSE,632.34,2391,2010-12-01 12:12:00,2011-12-05 12:59:00,44,47,0.2644667503136763,4,44,0
17028J,INCENSE BAZAAR PEACH,2.52,6,2011-01-31 15:27:00,2011-01-31 15:27:00,1,1,0.42,312,1,1
17038,PORCELAIN BUDAH INCENSE HOLDER,158.06,1525,2010-12-07 13:50:00,2011-12-09 10:03:00,34,34,0.10364590163934427,1,34,0
17084A,TRANQUILITY MASALA INCENSE,42.0,200,2011-01-31 15:27:00,2011-09-13 14:53:00,7,7,0.21,87,7,0
17084J,LOVE POTION MASALA INCENSE,47.25,225,2010-12-07 14:30:00,2011-09-13 14:53:00,8,8,0.21,87,8,0
17084N,FAIRY DREAMS INCENSE ,313.31,1264,2010-12-01 17:06:00,2011-12-09 10:03:00,82,101,0.24787183544303798,1,82,0
17084P,DRAGONS BLOOD INCENSE,104.44,423,2010-12-01 17:06:00,2011-12-08 16:30:00,35,39,0.24690307328605202,1,35,0
17084R,ASSORTED INCENSE PACK,760.3199999999999,4032,2010-12-03 11:48:00,2011-12-05 12:30:00,26,27,0.18857142857142856,5,26,0
17090A,LAVENDER INCENSE 40 CONES IN TIN,107.44999999999999,109,2010-12-02 13:11:00,2011-11-24 10:24:00,10,10,0.9857798165137613,16,10,0
17090D,VANILLA INCENSE 40 CONES IN TIN,36.25,29,2010-12-02 13:11:00,2011-07-11 11:38:00,12,12,1.25,152,12,1
17091A,LAVENDER INCENSE IN TIN,98.91,171,2010-12-01 11:21:00,2011-05-18 11:58:00,20,25,0.578421052631579,206,20,1
17091J,VANILLA INCENSE IN TIN,920.67,2084,2010-12-03 11:48:00,2011-12-09 11:20:00,75,95,0.44178023032629554,1,75,0
17096,ASSORTED LAQUERED INCENSE HOLDERS,455.9800000000001,2545,2010-12-08 14:25:00,2011-07-19 15:30:00,23,24,0.1791669941060904,143,23,1
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",433.5,170,2010-12-03 12:24:00,2011-12-05 15:51:00,41,46,2.55,4,41,0
17109D,FLOWER FAIRY INCENSE BOUQUET,32.349999999999994,61,2010-12-05 10:45:00,2011-04-21 12:34:00,5,5,0.530327868852459,233,5,1
17129F,BLUE GLASS GEMS IN BAG,553.8299999999999,588,2010-12-01 14:32:00,2011-12-05 17:24:00,51,57,0.9418877551020407,4,51,0
17136A,BLUE STONES ON WIRE FOR CANDLE,29.59,352,2011-02-01 13:25:00,2011-11-03 18:49:00,17,17,0.0840625,36,17,0
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,11.34,27,2010-12-01 12:54:00,2011-01-26 14:51:00,8,9,0.42,317,8,1
17165D,ASS COL LARGE SAND FROG P'WEIGHT,28.35,27,2010-12-10 11:01:00,2011-01-12 15:22:00,7,7,1.05,331,7,1
17174,ASSTD RASTA KEY-CHAINS,3.7800000000000002,9,2011-01-16 13:04:00,2011-11-24 15:01:00,3,3,0.42000000000000004,15,3,0
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,15.0,4,2011-11-13 11:39:00,2011-12-04 10:51:00,2,2,3.75,6,2,0
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,395.61,5884,2010-12-06 10:18:00,2011-07-20 16:12:00,26,30,0.06723487423521414,142,26,1
18094C,WHITE AND BLUE CERAMIC OIL BURNER,283.93,192,2010-12-06 13:47:00,2011-10-07 13:17:00,37,42,1.4788020833333333,63,37,0
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,12.75,5,2010-12-02 13:49:00,2011-06-22 16:16:00,4,4,2.55,170,4,1
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1591.01,695,2010-12-02 13:49:00,2011-12-08 16:30:00,59,69,2.2892230215827336,1,59,0
18098C,PORCELAIN BUTTERFLY OIL BURNER,658.75,213,2010-12-01 14:32:00,2011-08-08 13:11:00,34,49,3.0927230046948355,123,34,0
18098c,PORCELAIN BUTTERFLY OIL BURNER,263.12,52,2010-12-03 11:28:00,2010-12-21 15:17:00,5,12,5.0600000000000005,353,5,1
20615,BLUE POLKADOT PASSPORT COVER,466.99,309,2010-12-02 19:18:00,2011-12-08 20:01:00,75,95,1.511294498381877,1,75,0
20616,CHERRY BLOSSOM PASSPORT COVER,243.53,194,2010-12-01 14:41:00,2011-12-08 20:01:00,61,71,1.2553092783505155,1,61,0
20617,FIRST CLASS PASSPORT COVER ,194.94,93,2010-12-01 17:06:00,2011-12-08 16:30:00,40,43,2.0961290322580646,1,40,0
20618,QUEEN OF THE SKIES PASSPORT COVER ,286.39,148,2010-12-08 12:46:00,2011-12-06 16:21:00,60,76,1.9350675675675675,3,60,0
20619,TROPICAL PASSPORT COVER ,439.65,262,2010-12-01 17:06:00,2011-12-05 17:24:00,83,99,1.6780534351145038,4,83,0
20622,VIPPASSPORT COVER ,303.7,185,2010-12-01 14:32:00,2011-12-05 17:24:00,45,51,1.6416216216216215,4,45,0
20652,BLUE POLKADOT LUGGAGE TAG ,346.86,265,2010-12-03 14:54:00,2011-12-08 20:01:00,62,78,1.3089056603773586,1,62,0
20653,CHERRY BLOSSOM LUGGAGE TAG,95.17999999999999,73,2010-12-01 17:06:00,2011-12-05 17:17:00,31,33,1.303835616438356,4,31,0
20654,FIRST CLASS LUGGAGE TAG ,193.59,152,2010-12-10 11:01:00,2011-12-08 16:30:00,43,49,1.2736184210526316,1,43,0
20655,QUEEN OF SKIES LUGGAGE TAG,292.29,197,2010-12-03 11:28:00,2011-12-04 13:32:00,77,99,1.4837055837563453,5,77,0
20657,TROPICAL LUGGAGE TAG,105.91,73,2010-12-03 14:54:00,2011-11-11 09:05:00,33,33,1.4508219178082191,29,33,0
20658,RED RETROSPOT LUGGAGE TAG,652.11,433,2010-12-01 14:32:00,2011-09-26 13:57:00,79,105,1.5060277136258662,74,79,0
20659,ECONOMY LUGGAGE TAG,246.84,158,2010-12-05 15:12:00,2011-12-09 10:03:00,51,62,1.5622784810126582,1,51,0
20661,BLUE POLKADOT PURSE ,141.15,44,2010-12-03 14:54:00,2011-12-01 16:22:00,30,33,3.2079545454545455,8,30,0
20662,FIRST CLASS HOLIDAY PURSE ,90.42,31,2010-12-01 14:32:00,2011-10-24 17:07:00,18,20,2.9167741935483873,46,18,0
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,66.26,25,2010-12-07 18:36:00,2011-10-17 13:31:00,18,20,2.6504000000000003,53,18,0
20664,TROPICAL HOLIDAY PURSE ,81.66,32,2010-12-12 12:08:00,2011-08-30 10:39:00,17,18,2.551875,102,17,0
20665,RED RETROSPOT PURSE ,1546.2700000000002,461,2010-12-01 17:06:00,2011-12-09 10:03:00,121,156,3.3541648590021698,1,121,0
20666,ECONOMY HOLIDAY PURSE,41.53,30,2010-12-12 12:26:00,2011-07-20 16:12:00,15,17,1.3843333333333334,142,15,1
20667,CHERRY BLOSSOM PURSE,49.69,20,2011-05-31 11:39:00,2011-08-30 10:39:00,16,16,2.4844999999999997,102,16,0
20668,DISCO BALL CHRISTMAS DECORATION,1501.4,12883,2010-12-01 10:19:00,2011-12-09 10:51:00,122,215,0.11654117829698052,1,122,2
20669,RED HEART LUGGAGE TAG,447.34,304,2010-12-01 11:45:00,2011-12-09 10:26:00,76,96,1.4715131578947367,1,76,0
20670,VIP HOLIDAY PURSE,44.04,14,2010-12-12 12:08:00,2011-11-15 16:38:00,11,11,3.1457142857142855,24,11,0
20671,BLUE TEATIME PRINT BOWL ,12.5,10,2010-12-05 13:55:00,2010-12-09 13:34:00,2,2,1.25,365,2,1
20674,GREEN POLKADOT BOWL,2016.23,1563,2010-12-02 11:21:00,2011-12-08 15:31:00,150,205,1.2899744081893794,1,150,0
20675,BLUE POLKADOT BOWL,3983.12,3120,2010-12-02 12:47:00,2011-12-08 15:31:00,198,322,1.2766410256410257,1,198,2
20676,RED RETROSPOT BOWL,6374.81,5023,2010-12-01 14:32:00,2011-12-08 15:31:00,230,448,1.2691240294644635,1,230,2
20677,PINK POLKADOT BOWL,4747.34,3674,2010-12-02 12:50:00,2011-12-08 15:31:00,201,333,1.292144801306478,1,201,2
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,4,2011-09-23 14:49:00,2011-09-23 14:49:00,1,1,1.65,77,1,0
20679,EDWARDIAN PARASOL RED,10021.42,1710,2010-12-01 09:02:00,2011-12-09 10:26:00,192,326,5.860479532163743,1,192,2
20681,PINK POLKADOT CHILDRENS UMBRELLA,506.96,140,2010-12-01 17:06:00,2011-03-10 13:58:00,35,46,3.621142857142857,274,35,1
20682,RED RETROSPOT CHILDRENS UMBRELLA,4171.33,1235,2010-12-01 17:06:00,2011-12-08 09:20:00,158,237,3.3775951417004046,2,158,0
20684,STRAWBERRY DREAM CHILDS UMBRELLA,270.56,80,2010-12-01 14:32:00,2011-07-22 10:52:00,33,35,3.382,141,33,1
20685,DOORMAT RED RETROSPOT,28049.54,4088,2010-12-01 11:41:00,2011-12-09 12:49:00,259,696,6.861433463796478,1,259,2
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,922.67,267,2010-12-03 11:36:00,2011-12-08 13:50:00,67,77,3.455692883895131,1,67,0
20694,FLORAL PINK MONSTER,187.54,43,2010-12-17 14:54:00,2011-11-22 15:41:00,16,16,4.361395348837209,17,16,0
20695,FLORAL BLUE MONSTER,21.25,5,2010-12-08 15:17:00,2011-11-17 15:08:00,4,4,4.25,22,4,0
20696,FLORAL SOFT CAR TOY,230.81,54,2010-12-01 17:06:00,2011-11-11 13:06:00,27,30,4.274259259259259,28,27,0
20697,LITTLE GREEN MONSTER SOFT TOY,48.449999999999996,19,2010-12-01 14:37:00,2011-11-23 12:20:00,11,11,2.55,17,11,0
20698,LITTLE PINK MONSTER SOFT TOY,43.349999999999994,17,2011-01-11 12:41:00,2011-11-23 12:20:00,8,8,2.55,17,8,0
20699,MOUSEY LONG LEGS SOFT TOY,266.03,97,2010-12-01 17:06:00,2011-12-05 17:36:00,29,41,2.7425773195876286,4,29,0
20700,GREEN CAT FLORAL CUSHION COVER ,345.17,73,2010-12-01 17:06:00,2011-09-28 16:13:00,47,54,4.728356164383562,72,47,0
20701,PINK CAT FLORAL CUSHION COVER ,100.97,25,2010-12-23 16:06:00,2011-06-30 15:56:00,16,18,4.0388,162,16,1
20702,PINK PADDED MOBILE,573.54,134,2010-12-05 13:42:00,2011-10-26 13:07:00,39,42,4.280149253731343,44,39,0
20703,BLUE PADDED SOFT MOBILE,4.25,1,2011-04-14 11:45:00,2011-04-14 11:45:00,1,1,4.25,240,1,1
20704,MR ROBOT SOFT TOY,697.7,216,2010-12-13 11:21:00,2011-12-09 10:46:00,34,44,3.2300925925925927,1,34,0
20705,MRS ROBOT SOFT TOY,428.85,143,2010-12-14 12:59:00,2011-12-06 12:19:00,26,28,2.998951048951049,4,26,0
20707,CRAZY DAISY HEART DECORATION,468.39,464,2010-12-01 12:43:00,2011-12-05 17:17:00,104,149,1.0094612068965516,4,104,0
20711,JUMBO BAG TOYS ,11014.62,5007,2010-12-01 14:11:00,2011-12-01 16:22:00,220,522,2.199844218094668,8,220,2
20712,JUMBO BAG WOODLAND ANIMALS,22092.42,9773,2010-12-01 13:04:00,2011-12-09 10:26:00,277,863,2.260556635628773,1,277,2
20713,JUMBO BAG OWLS,23001.06,11429,2010-12-01 11:45:00,2011-12-09 12:19:00,208,657,2.0125172806019775,1,208,2
20716,PARTY FOOD SHOPPER BAG,469.63,400,2010-12-06 09:58:00,2011-06-29 11:46:00,54,73,1.174075,164,54,1
20717,STRAWBERRY SHOPPER BAG,3561.98,2855,2010-12-01 11:45:00,2011-12-09 10:26:00,222,412,1.247628721541156,1,222,2
20718,RED RETROSPOT SHOPPER BAG,6604.29,4769,2010-12-01 17:06:00,2011-12-09 10:26:00,249,575,1.3848374921367164,1,249,2
20719,WOODLAND CHARLOTTE BAG,16744.45,13290,2010-12-01 14:32:00,2011-12-09 10:23:00,275,833,1.2599285176824682,1,275,2
20723,STRAWBERRY CHARLOTTE BAG,12548.15,9793,2010-12-01 09:37:00,2011-12-09 10:23:00,268,722,1.2813387113244155,1,268,2
20724,RED RETROSPOT CHARLOTTE BAG,21773.39,17761,2010-12-01 14:32:00,2011-12-09 10:23:00,286,1032,1.225910140194809,1,286,2
20725,LUNCH BAG RED RETROSPOT,35862.36,19432,2010-12-01 09:37:00,2011-12-09 12:23:00,298,1565,1.845531082750103,1,298,2
20726,LUNCH BAG WOODLAND,18283.78,9909,2010-12-01 11:21:00,2011-12-09 10:26:00,287,1017,1.8451690382480572,1,287,2
20727,LUNCH BAG  BLACK SKULL.,22346.96,12195,2010-12-01 11:29:00,2011-12-09 11:34:00,292,1273,1.8324690446904468,1,292,2
20728,LUNCH BAG CARS BLUE,21699.48,11786,2010-12-01 11:29:00,2011-12-09 10:26:00,293,1150,1.8411233667062616,1,293,2
20731,POSY CANDY BAG,109.96,92,2010-12-06 12:15:00,2011-06-20 14:48:00,14,16,1.1952173913043478,172,14,1
20733,GOLD MINI TAPE MEASURE ,956.36,1234,2010-12-01 14:32:00,2011-12-09 10:03:00,137,205,0.7750081037277148,1,137,0
20734,SILVER MINI TAPE MEASURE ,271.21999999999997,158,2010-12-03 14:27:00,2011-04-06 11:14:00,26,26,1.7165822784810125,248,26,1
20735,BLACK MINI TAPE MEASURE ,625.8,623,2010-12-01 14:32:00,2011-12-06 14:23:00,83,112,1.0044943820224719,3,83,0
20748,KENSINGTON COFFEE SET,751.17,57,2010-12-05 13:42:00,2011-11-28 13:06:00,32,34,13.178421052631577,11,32,0
20749,ASSORTED COLOUR MINI CASES,12550.57,1762,2010-12-01 11:21:00,2011-12-09 09:38:00,200,383,7.122911464245176,1,200,2
20750,RED RETROSPOT MINI CASES,12634.98,1747,2010-12-01 11:49:00,2011-12-09 11:59:00,210,385,7.232386949055524,1,210,2
20751,FUNKY WASHING UP GLOVES ASSORTED,2041.5200000000002,971,2010-12-02 15:46:00,2011-12-04 12:32:00,144,198,2.10249227600412,6,144,0
20752,BLUE POLKADOT WASHING UP GLOVES,920.45,407,2010-12-01 17:06:00,2011-11-27 14:50:00,115,148,2.2615479115479116,12,115,0
